Start time          	End time            	Sensor
2008-02-25 00:20:14	2008-02-25 00:22:57	Hall-Bedroom door
2008-02-25 09:33:41	2008-02-25 09:33:42	Hall-Bedroom door
2008-02-25 09:33:47	2008-02-25 17:21:12	Hall-Bedroom door
2008-02-25 09:36:43	2008-02-25 09:37:04	Hall-Toilet door
2008-02-25 09:37:20	2008-02-25 09:37:23	Hall-Bathroom door
2008-02-25 09:37:51	2008-02-25 09:37:52	ToiletFlush
2008-02-25 09:37:55	2008-02-25 09:37:56	ToiletFlush
2008-02-25 09:37:58	2008-02-25 09:38:01	Hall-Bathroom door
2008-02-25 09:49:27	2008-02-25 09:49:28	Plates cupboard
2008-02-25 09:49:31	2008-02-25 09:49:38	Plates cupboard
2008-02-25 09:49:39	2008-02-25 09:49:44	Fridge
2008-02-25 09:49:53	2008-02-25 09:49:56	Fridge
2008-02-25 09:49:58	2008-02-25 09:50:04	Microwave
2008-02-25 09:50:39	2008-02-25 09:50:42	Groceries Cupboard
2008-02-25 09:52:11	2008-02-25 09:53:21	Microwave
2008-02-25 09:53:22	2008-02-25 09:53:25	Groceries Cupboard
2008-02-25 09:57:24	2008-02-25 10:01:27	Dishwasher
2008-02-25 09:57:45	2008-02-25 09:58:29	Plates cupboard
2008-02-25 09:58:33	2008-02-25 09:58:34	Pans Cupboard
2008-02-25 09:59:17	2008-02-25 09:59:18	Cups cupboard
2008-02-25 10:00:00	2008-02-25 10:00:04	Plates cupboard
2008-02-25 10:02:31	2008-02-25 10:02:54	Hall-Toilet door
2008-02-25 10:10:15	2008-02-25 10:10:16	Hall-Toilet door
2008-02-25 10:10:20	2008-02-25 17:00:28	Hall-Toilet door
2008-02-25 10:19:28	2008-02-25 10:19:32	Frontdoor
2008-02-25 16:54:37	2008-02-25 16:54:41	Frontdoor
2008-02-25 16:59:04	2008-02-25 16:59:11	Fridge
2008-02-25 16:59:14	2008-02-25 16:59:42	Groceries Cupboard
2008-02-25 16:59:48	2008-02-25 16:59:51	Fridge
2008-02-25 17:00:33	2008-02-25 17:00:37	Hall-Bathroom door
2008-02-25 17:01:22	2008-02-25 17:01:23	ToiletFlush
2008-02-25 17:01:28	2008-02-25 17:01:32	Hall-Bathroom door
2008-02-25 17:17:39	2008-02-25 17:17:40	Pans Cupboard
2008-02-25 17:17:43	2008-02-25 17:17:44	Pans Cupboard
2008-02-25 17:17:49	2008-02-25 17:17:50	Pans Cupboard
2008-02-25 17:19:38	2008-02-25 17:19:44	Frontdoor
2008-02-25 17:22:48	2008-02-25 17:22:49	Pans Cupboard
2008-02-25 17:55:01	2008-02-25 17:55:02	Fridge
2008-02-25 17:55:06	2008-02-25 17:55:17	Fridge
2008-02-25 17:55:08	2008-02-25 17:55:11	Cups cupboard
2008-02-25 17:55:12	2008-02-25 17:55:13	Cups cupboard
